commodityName,symbol,date,price
Copper,HGUSD,2024-04-09 10:05:00,4.29
Copper,HGUSD,2024-04-09 15:49:49,4.30
Copper,HGUSD,2024-04-10 12:49:10,4.28
Copper,HGUSD,2024-04-11 10:44:01,4.26
Copper,HGUSD,2024-04-12 10:43:45,4.27
Copper,HGUSD,2024-04-12 13:59:58,4.32
Copper,HGUSD,2024-04-15 10:44:01,4.36
Copper,HGUSD,2024-04-16 10:43:44,4.31
Copper,HGUSD,2024-04-16 15:39:34,4.30
Copper,HGUSD,2024-04-16 15:49:32,4.30
Copper,HGUSD,2024-04-16 19:11:30,4.30
Crude Oil,CLUSD,2024-04-09 10:05:02,85.28
Crude Oil,CLUSD,2024-04-09 15:49:01,85.33
Crude Oil,CLUSD,2024-04-10 12:49:12,86.25
Crude Oil,CLUSD,2024-04-11 10:43:57,85.41
Crude Oil,CLUSD,2024-04-12 10:44:02,85.86
Crude Oil,CLUSD,2024-04-12 13:59:59,85.45
Crude Oil,CLUSD,2024-04-15 10:44:02,85.22
Crude Oil,CLUSD,2024-04-16 10:44:01,85.30
Crude Oil,CLUSD,2024-04-16 15:39:41,85.27
Crude Oil,CLUSD,2024-04-16 15:47:20,85.30
Crude Oil,CLUSD,2024-04-16 19:11:32,84.88
Gold Futures,GCUSD,2024-04-09 10:05:03,2362.20
Gold Futures,GCUSD,2024-04-09 15:49:59,2371.30
Gold Futures,GCUSD,2024-04-10 12:39:11,2347.60
Gold Futures,GCUSD,2024-04-11 10:44:01,2373.60
Gold Futures,GCUSD,2024-04-12 10:44:02,2367.90
Gold Futures,GCUSD,2024-04-12 13:59:56,2360.20
Gold Futures,GCUSD,2024-04-15 10:44:02,2385.00
Gold Futures,GCUSD,2024-04-16 10:44:00,2404.60
Gold Futures,GCUSD,2024-04-16 15:39:49,2400.10
Gold Futures,GCUSD,2024-04-16 15:50:00,2400.30
Gold Futures,GCUSD,2024-04-16 19:11:34,2399.90
Silver Futures,SIUSD,2024-04-09 10:05:03,28.01
Silver Futures,SIUSD,2024-04-09 15:49:19,28.29
Silver Futures,SIUSD,2024-04-10 12:49:09,27.93
Silver Futures,SIUSD,2024-04-11 10:44:00,28.26
Silver Futures,SIUSD,2024-04-12 10:44:01,28.26
Silver Futures,SIUSD,2024-04-12 13:59:59,27.97
Silver Futures,SIUSD,2024-04-15 10:44:01,28.83
Silver Futures,SIUSD,2024-04-16 10:43:57,28.35
Silver Futures,SIUSD,2024-04-16 15:39:24,28.21
Silver Futures,SIUSD,2024-04-16 15:49:55,28.21
Silver Futures,SIUSD,2024-04-16 19:11:16,28.26
Natural Gas,NGUSD,2024-04-09 10:04:58,1.85
Natural Gas,NGUSD,2024-04-09 15:38:02,1.89
Natural Gas,NGUSD,2024-04-10 12:49:04,1.88
Natural Gas,NGUSD,2024-04-11 10:44:01,1.76
Natural Gas,NGUSD,2024-04-12 10:43:46,1.77
Natural Gas,NGUSD,2024-04-12 13:59:45,1.77
Natural Gas,NGUSD,2024-04-15 10:44:00,1.69
Natural Gas,NGUSD,2024-04-16 10:44:01,1.65
Natural Gas,NGUSD,2024-04-16 15:39:33,1.69
Natural Gas,NGUSD,2024-04-16 15:48:27,1.69
Natural Gas,NGUSD,2024-04-16 19:11:30,1.68
